3629,1111,AIRPORT3135,AIRPORT3131,AIRLINE3000
3628,1111,AIRPORT3043,AIRPORT3066,AIRLINE3000
3627,1111,AIRPORT3043,AIRPORT3084,AIRLINE3000
3626,1111,AIRPORT3043,AIRPORT3061,AIRLINE3000
3625,1111,AIRPORT3043,AIRPORT3146,AIRLINE3000
3624,1111,AIRPORT3043,AIRPORT3055,AIRLINE3000
3623,1111,AIRPORT3043,AIRPORT3063,AIRLINE3000
3622,1111,AIRPORT3043,AIRPORT3040,AIRLINE3000
3621,1111,AIRPORT3043,AIRPORT3038,AIRLINE3000
3620,1111,AIRPORT3043,AIRPORT6173,AIRLINE3000
62599,1111,AIRPORT3577,AIRPORT3717,AIRLINE4547
62598,1111,AIRPORT3577,AIRPORT3747,AIRLINE4547
62597,1111,AIRPORT3577,AIRPORT3877,AIRLINE4547
62596,1111,AIRPORT3577,AIRPORT3751,AIRLINE4547
62595,1111,AIRPORT3577,AIRPORT3849,AIRLINE4547
62594,1111,AIRPORT3577,AIRPORT4019,AIRLINE4547
62593,1111,AIRPORT4014,AIRPORT3646,AIRLINE4547
62592,1111,AIRPORT4014,AIRPORT3462,AIRLINE4547
62591,1111,AIRPORT4014,AIRPORT3747,AIRLINE4547
62590,1111,AIRPORT4014,AIRPORT3878,AIRLINE4547
3619,1111,AIRPORT3043,AIRPORT3093,AIRLINE3000
3618,1111,AIRPORT3043,AIRPORT3076,AIRLINE3000
3617,1111,AIRPORT3043,AIRPORT2997,AIRLINE3000
3616,1111,AIRPORT3043,AIRPORT3131,AIRLINE3000
3615,1111,AIRPORT3043,AIRPORT3039,AIRLINE3000
3614,1111,AIRPORT3137,AIRPORT2997,AIRLINE3000
3613,1111,AIRPORT3137,AIRPORT2179,AIRLINE3000
3612,1111,AIRPORT302,AIRPORT193,AIRLINE3000
3611,1111,AIRPORT302,AIRPORT3494,AIRLINE3000
3610,1111,AIRPORT302,AIRPORT3093,AIRLINE3000
48299,1111,AIRPORT609,AIRPORT1208,AIRLINE4319
48298,1111,AIRPORT609,AIRPORT193,AIRLINE4319
48297,1111,AIRPORT609,AIRPORT680,AIRLINE4319
62589,1111,AIRPORT4014,AIRPORT3877,AIRLINE4547
48296,1111,AIRPORT609,AIRPORT679,AIRLINE4319
62588,1111,AIRPORT4014,AIRPORT3751,AIRLINE4547
48295,1111,AIRPORT609,AIRPORT3959,AIRLINE4319
62587,1111,AIRPORT4014,AIRPORT3849,AIRLINE4547
48294,1111,AIRPORT609,AIRPORT1551,AIRLINE4319
62586,1111,AIRPORT4014,AIRPORT3682,AIRLINE4547
48293,1111,AIRPORT609,AIRPORT351,AIRLINE4319
62585,1111,AIRPORT3621,AIRPORT3646,AIRLINE4547
48292,1111,AIRPORT609,AIRPORT664,AIRLINE4319
62584,1111,AIRPORT3621,AIRPORT3678,AIRLINE4547
48291,1111,AIRPORT609,AIRPORT665,AIRLINE4319
62583,1111,AIRPORT3621,AIRPORT3731,AIRLINE4547
48290,1111,AIRPORT609,AIRPORT1590,AIRLINE4319
62582,1111,AIRPORT3621,AIRPORT3462,AIRLINE4547
62581,1111,AIRPORT3621,AIRPORT3747,AIRLINE4547
62580,1111,AIRPORT3621,AIRPORT3878,AIRLINE4547
3609,1111,AIRPORT302,AIRPORT2997,AIRLINE3000
3608,1111,AIRPORT2997,AIRPORT3066,AIRLINE3000
3607,1111,AIRPORT2997,AIRPORT3023,AIRLINE3000
3606,1111,AIRPORT2997,AIRPORT3153,AIRLINE3000
3605,1111,AIRPORT2997,AIRPORT3316,AIRLINE3000
3604,1111,AIRPORT2997,AIRPORT2082,AIRLINE3000
3603,1111,AIRPORT2997,AIRPORT3020,AIRLINE3000
3602,1111,AIRPORT2997,AIRPORT3019,AIRLINE3000
3601,1111,AIRPORT2997,AIRPORT3017,AIRLINE3000
3600,1111,AIRPORT2997,AIRPORT2279,AIRLINE3000
48289,1111,AIRPORT609,AIRPORT415,AIRLINE4319
48288,1111,AIRPORT609,AIRPORT460,AIRLINE4319
48287,1111,AIRPORT609,AIRPORT2985,AIRLINE4319
62579,1111,AIRPORT3621,AIRPORT3484,AIRLINE4547
48286,1111,AIRPORT609,AIRPORT666,AIRLINE4319
62578,1111,AIRPORT3621,AIRPORT3877,AIRLINE4547
48285,1111,AIRPORT609,AIRPORT350,AIRLINE4319
62577,1111,AIRPORT3621,AIRPORT3560,AIRLINE4547
48284,1111,AIRPORT609,AIRPORT1206,AIRLINE4319
62576,1111,AIRPORT3621,AIRPORT3566,AIRLINE4547
48283,1111,AIRPORT609,AIRPORT1486,AIRLINE4319
62575,1111,AIRPORT3621,AIRPORT3559,AIRLINE4547
48282,1111,AIRPORT609,AIRPORT3316,AIRLINE4319
62574,1111,AIRPORT3621,AIRPORT3751,AIRLINE4547
48281,1111,AIRPORT609,AIRPORT3469,AIRLINE4319
62573,1111,AIRPORT3621,AIRPORT3502,AIRLINE4547
48280,1111,AIRPORT609,AIRPORT3953,AIRLINE4319
62572,1111,AIRPORT3621,AIRPORT3849,AIRLINE4547
62571,1111,AIRPORT3621,AIRPORT3690,AIRLINE4547
62570,1111,AIRPORT3621,AIRPORT3682,AIRLINE4547
50599,1111,AIRPORT1688,AIRPORT4130,AIRLINE4951
50598,1111,AIRPORT2179,AIRPORT1701,AIRLINE4951
50597,1111,AIRPORT3682,AIRPORT193,AIRLINE4951
50596,1111,AIRPORT3941,AIRPORT1701,AIRLINE4951
50595,1111,AIRPORT1696,AIRPORT4317,AIRLINE4951
50594,1111,AIRPORT1696,AIRPORT1701,AIRLINE4951
50593,1111,AIRPORT2966,AIRPORT4317,AIRLINE4951
50592,1111,AIRPORT2976,AIRPORT1701,AIRLINE4951
